Priority Score,Department,Sub-Department,Category,Service Level,Resolution Time (mins)
5,Credit,Mortgage & Secured Loans,NRE/NRO Account Opening,2,14
1,Forex,Corporate Loans,Education Loan,1,86
10,Credit,Corporate Loans,Working Capital Loan,2,49
1,Forex,Credit Cards,Education Loan,3,3
2,Forex,International Transactions,NRE/NRO Account Opening,1,42
1,Credit,Corporate Loans,NRE/NRO Account Opening,3,5
10,General Banking,Microfinance & Agricultural Loans,Education Loan,1,16
10,Forex,Foreign Investments & NRI Banking,Cash Currency Exchange,1,21
5,Forex,Retail Loans,Home Loan,2,32
8,Forex,Banking Tech & Digital Services,Education Loan,3,19
10,Forex,Corporate Loans,Working Capital Loan,1,28
7,Credit,Microfinance & Agricultural Loans,Bank Guarantee,1,81
1,Forex,Retail Loans,Working Capital Loan,3,86
7,Forex,Retail Loans,Education Loan,1,31
10,Credit,International Transactions,Foreign Exchange Rates Inquiry,1,65
7,Forex,Transactions & Payments,Letter of Credit,2,18
10,Forex,Credit Cards,Working Capital Loan,2,25
6,Forex,Trade Finance,Working Capital Loan,3,3
7,General Banking,Transactions & Payments,Education Loan,1,86
6,Credit,Retail Loans,Cash Currency Exchange,2,46
9,General Banking,Retail Loans,Foreign Exchange Rates Inquiry,2,3
10,Credit,International Transactions,Savings Account,1,22
3,Credit,Corporate Loans,Debit Card Activation,1,9
7,Forex,International Transactions,Lost/Stolen Card,1,86
8,Forex,Microfinance & Agricultural Loans,Car Loan,3,3
6,Forex,Corporate Loans,Loan Against Property,1,32
10,Forex,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,2,3
7,Forex,Accounts & Deposits,Car Loan,3,18
6,Credit,Credit Cards,Foreign Exchange Rates Inquiry,1,14
4,Credit,KYC & Documentation,Education Loan,2,86
9,Credit,KYC & Documentation,Car Loan,1,44
9,Credit,International Transactions,Credit Limit Increase,1,86
4,Credit,Microfinance & Agricultural Loans,Debit Card Activation,1,86
7,Forex,Trade Finance,NEFT/RTGS/IMPS Issue,2,9
10,Forex,Transactions & Payments,Loan Against Property,3,28
9,Credit,Retail Loans,Fixed Deposit,2,86
2,Forex,Credit Cards,Loan Against Property,3,58
9,Credit,Credit Cards,Fixed Deposit,1,9
5,Credit,Corporate Loans,Working Capital Loan,2,86
10,Forex,Currency Exchange,Personal Loan,3,69
10,General Banking,Retail Loans,Education Loan,1,3
7,Forex,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,1,51
4,Credit,Trade Finance,Education Loan,2,30
2,General Banking,Microfinance & Agricultural Loans,Credit Limit Increase,1,79
5,General Banking,Credit Cards,Mobile Banking Issue,1,9
7,General Banking,Accounts & Deposits,Cash Currency Exchange,2,77
7,Credit,Microfinance & Agricultural Loans,Fixed Deposit,2,14
5,Credit,Mortgage & Secured Loans,Working Capital Loan,2,21
1,Credit,International Transactions,Letter of Credit,2,86
7,Credit,KYC & Documentation,Education Loan,2,3
5,Credit,Trade Finance,Fixed Deposit,2,5
7,Forex,KYC & Documentation,Loan Against Property,2,5
9,Credit,Retail Loans,Foreign Exchange Rates Inquiry,1,32
9,Forex,Mortgage & Secured Loans,Cash Currency Exchange,1,23
7,Credit,International Transactions,Debit Card Activation,2,21
7,Credit,Credit Cards,Education Loan,1,17
7,Credit,Retail Loans,NRE/NRO Account Opening,1,3
5,Credit,Credit Cards,Repatriation of Funds,1,22
9,Credit,Corporate Loans,Debit Card Activation,2,13
7,Forex,KYC & Documentation,Foreign Exchange Rates Inquiry,2,18
5,Forex,International Transactions,Savings Account,2,11
4,General Banking,Currency Exchange,Lost/Stolen Card,2,22
1,General Banking,Currency Exchange,Fixed Deposit,1,27
4,Forex,International Transactions,Foreign Exchange Rates Inquiry,1,40
4,Forex,Trade Finance,Mobile Banking Issue,2,20
6,Credit,Microfinance & Agricultural Loans,Debit Card Activation,2,29
10,Forex,Corporate Loans,Loan Against Property,2,18
6,Credit,Banking Tech & Digital Services,Lost/Stolen Card,1,3
4,Forex,Trade Finance,Education Loan,2,19
5,Forex,Corporate Loans,Letter of Credit,3,83
7,General Banking,Retail Loans,Education Loan,1,19
6,Forex,Foreign Investments & NRI Banking,Car Loan,1,17
6,Forex,Transactions & Payments,Personal Loan,2,20
10,Credit,Microfinance & Agricultural Loans,NRE/NRO Account Opening,1,68
1,General Banking,Retail Loans,Reward Points Inquiry,1,16
4,Credit,Foreign Investments & NRI Banking,Letter of Credit,2,86
10,Forex,Mortgage & Secured Loans,Cash Currency Exchange,1,14
8,Credit,Accounts & Deposits,Letter of Credit,3,52
1,Forex,Credit Cards,Debit Card Activation,1,71
1,Forex,Trade Finance,NRE/NRO Account Opening,3,4
9,Credit,Transactions & Payments,Personal Loan,3,16
4,Credit,Microfinance & Agricultural Loans,Education Loan,1,81
6,Credit,Banking Tech & Digital Services,Home Loan,2,22
9,General Banking,International Transactions,Mobile Banking Issue,1,3
2,Forex,Microfinance & Agricultural Loans,Fixed Deposit,3,11
2,Credit,International Transactions,Mobile Banking Issue,1,38
7,Forex,Retail Loans,Debit Card Activation,2,23
10,Credit,International Transactions,Working Capital Loan,2,3
6,Forex,Banking Tech & Digital Services,Reward Points Inquiry,2,28
5,Credit,Banking Tech & Digital Services,Letter of Credit,2,30
7,Forex,Credit Cards,Letter of Credit,1,37
7,General Banking,Corporate Loans,Letter of Credit,2,86
5,Credit,Corporate Loans,Foreign Exchange Rates Inquiry,2,11
8,General Banking,Mortgage & Secured Loans,Reward Points Inquiry,3,27
5,General Banking,KYC & Documentation,Education Loan,1,14
4,Credit,Transactions & Payments,Mobile Banking Issue,1,23
7,Forex,Credit Cards,Loan Against Property,1,26
2,Credit,Transactions & Payments,Mobile Banking Issue,1,69
5,Forex,Credit Cards,Fixed Deposit,2,3
8,Credit,Trade Finance,Reward Points Inquiry,1,48
5,General Banking,Accounts & Deposits,Fixed Deposit,1,42
10,Forex,Retail Loans,Mobile Banking Issue,2,32
10,General Banking,KYC & Documentation,NRE/NRO Account Opening,2,4
5,Credit,Foreign Investments & NRI Banking,Bank Guarantee,1,7
8,General Banking,Trade Finance,Foreign Exchange Rates Inquiry,3,24
6,Forex,Retail Loans,Cash Currency Exchange,1,36
4,Forex,Foreign Investments & NRI Banking,Net Banking Login Issue,3,22
4,Credit,Currency Exchange,Letter of Credit,1,56
6,Forex,Currency Exchange,Fixed Deposit,3,72
4,Forex,Foreign Investments & NRI Banking,Education Loan,2,11
9,Credit,Mortgage & Secured Loans,Home Loan,1,70
3,Forex,Retail Loans,Foreign Exchange Rates Inquiry,2,86
10,Credit,Microfinance & Agricultural Loans,Education Loan,2,20
6,Forex,International Transactions,Fixed Deposit,2,21
10,Forex,Microfinance & Agricultural Loans,Working Capital Loan,1,3
6,Forex,Corporate Loans,Repatriation of Funds,1,3
5,Credit,Corporate Loans,Education Loan,2,86
9,Credit,Currency Exchange,Loan Against Property,1,26
3,Credit,KYC & Documentation,Education Loan,3,17
7,Credit,Transactions & Payments,Fixed Deposit,1,26
6,Credit,Corporate Loans,Debit Card Activation,2,11
6,General Banking,Mortgage & Secured Loans,Mobile Banking Issue,2,66
8,Forex,Corporate Loans,Home Loan,1,26
4,General Banking,International Transactions,Education Loan,1,3
5,Credit,Corporate Loans,Foreign Exchange Rates Inquiry,3,22
3,Credit,Retail Loans,Loan Against Property,1,26
8,Credit,Credit Cards,Cash Currency Exchange,3,30
5,Forex,Credit Cards,SWIFT Transfer,2,13
10,Forex,Retail Loans,NRE/NRO Account Opening,1,35
8,Forex,KYC & Documentation,Home Loan,1,25
6,General Banking,Credit Cards,Letter of Credit,2,4
8,Credit,Currency Exchange,Education Loan,1,86
4,Forex,International Transactions,Debit Card Activation,3,53
10,General Banking,Corporate Loans,Education Loan,1,75
10,Forex,Credit Cards,SWIFT Transfer,3,59
6,Credit,Microfinance & Agricultural Loans,Car Loan,2,21
9,General Banking,Credit Cards,NRE/NRO Account Opening,2,86
2,Credit,Corporate Loans,Letter of Credit,1,38
8,Forex,Retail Loans,Education Loan,1,3
4,General Banking,Transactions & Payments,Cash Currency Exchange,3,21
3,Forex,Retail Loans,Education Loan,1,79
6,General Banking,Credit Cards,Working Capital Loan,2,22
6,General Banking,Mortgage & Secured Loans,Net Banking Login Issue,1,25
4,General Banking,Trade Finance,Car Loan,1,33
6,Forex,Trade Finance,Working Capital Loan,2,3
4,Forex,Microfinance & Agricultural Loans,Personal Loan,1,65
10,General Banking,KYC & Documentation,Home Loan,1,4
10,Forex,Transactions & Payments,Working Capital Loan,2,86
6,Forex,Trade Finance,Home Loan,3,86
2,Credit,Credit Cards,Car Loan,2,46
6,Credit,Retail Loans,Repatriation of Funds,1,28
5,Forex,Foreign Investments & NRI Banking,Car Loan,1,3
10,General Banking,Currency Exchange,Savings Account,3,77
8,Forex,Trade Finance,Debit Card Activation,1,86
6,Forex,Credit Cards,Home Loan,1,8
1,Forex,KYC & Documentation,Car Loan,2,25
3,Forex,Banking Tech & Digital Services,Reward Points Inquiry,3,31
5,General Banking,Credit Cards,Education Loan,2,34
8,Credit,Retail Loans,Working Capital Loan,2,27
10,Forex,Foreign Investments & NRI Banking,Loan Against Property,2,31
10,Forex,KYC & Documentation,Education Loan,3,3
10,Credit,Trade Finance,Letter of Credit,2,3
10,Credit,Currency Exchange,Education Loan,2,81
9,Credit,Corporate Loans,Mobile Banking Issue,3,33
7,Forex,Retail Loans,Car Loan,1,3
6,Credit,Microfinance & Agricultural Loans,NEFT/RTGS/IMPS Issue,3,3
4,Forex,Currency Exchange,Foreign Exchange Rates Inquiry,1,3
4,Forex,International Transactions,Loan Against Property,3,8
7,Credit,Microfinance & Agricultural Loans,Debit Card Activation,3,4
3,General Banking,Foreign Investments & NRI Banking,Debit Card Activation,1,6
1,General Banking,Transactions & Payments,Cash Currency Exchange,3,19
9,Credit,Trade Finance,Education Loan,3,29
7,General Banking,KYC & Documentation,Letter of Credit,3,57
1,General Banking,Trade Finance,Car Loan,1,3
10,Credit,KYC & Documentation,Working Capital Loan,3,3
10,Forex,International Transactions,Fixed Deposit,3,11
3,Forex,Corporate Loans,Fixed Deposit,1,86
10,Forex,Trade Finance,Debit Card Activation,2,86
5,Forex,Retail Loans,Letter of Credit,2,42
10,Credit,Credit Cards,Working Capital Loan,2,86
6,Forex,Credit Cards,Fixed Deposit,3,9
9,General Banking,International Transactions,Mobile Banking Issue,1,61
9,Credit,Retail Loans,NRE/NRO Account Opening,3,73
5,Forex,International Transactions,NEFT/RTGS/IMPS Issue,2,3
10,General Banking,Retail Loans,Education Loan,1,3
7,Credit,Microfinance & Agricultural Loans,Home Loan,2,86
1,Credit,KYC & Documentation,Fixed Deposit,3,13
7,General Banking,Credit Cards,NRE/NRO Account Opening,2,79
1,Forex,Foreign Investments & NRI Banking,Working Capital Loan,1,3
10,Forex,Currency Exchange,Loan Against Property,1,3
4,Credit,Microfinance & Agricultural Loans,Car Loan,3,63
6,Credit,Corporate Loans,Lost/Stolen Card,3,16
3,Credit,Retail Loans,Education Loan,1,86
7,Forex,Credit Cards,Education Loan,1,77
4,Credit,Credit Cards,Loan Against Property,1,15
10,Credit,Microfinance & Agricultural Loans,Letter of Credit,2,47
5,Forex,Banking Tech & Digital Services,Letter of Credit,2,13
5,Credit,Accounts & Deposits,Fixed Deposit,3,12
7,Credit,Trade Finance,Education Loan,3,36
7,Credit,Corporate Loans,Personal Loan,1,86
9,Forex,Retail Loans,Home Loan,1,23
9,Credit,International Transactions,Education Loan,1,9
6,Forex,Retail Loans,Cash Currency Exchange,3,8
8,Forex,Trade Finance,Letter of Credit,2,13
8,General Banking,Credit Cards,Cash Currency Exchange,1,3
1,Forex,Corporate Loans,Car Loan,2,12
7,Credit,Currency Exchange,Home Loan,1,40
10,Credit,Trade Finance,Cash Currency Exchange,1,26
7,General Banking,Currency Exchange,Foreign Exchange Rates Inquiry,1,27
3,Forex,International Transactions,Home Loan,1,43
9,Credit,International Transactions,Foreign Exchange Rates Inquiry,1,4
10,Credit,International Transactions,Credit Limit Increase,1,3
3,Credit,Corporate Loans,Foreign Exchange Rates Inquiry,1,73
1,Credit,Credit Cards,Lost/Stolen Card,1,86
4,Forex,International Transactions,Cash Currency Exchange,1,33
10,Forex,Mortgage & Secured Loans,Cash Currency Exchange,1,44
10,Forex,International Transactions,Letter of Credit,1,23
1,Credit,Corporate Loans,Mobile Banking Issue,1,33
9,Credit,Corporate Loans,Fixed Deposit,3,86
10,General Banking,International Transactions,Reward Points Inquiry,2,9
7,Credit,Currency Exchange,Car Loan,1,14
7,Forex,Credit Cards,SWIFT Transfer,1,26
10,Credit,Accounts & Deposits,Mobile Banking Issue,1,23
6,Forex,International Transactions,Cash Currency Exchange,2,86
7,Forex,Corporate Loans,Fixed Deposit,1,21
5,Credit,Trade Finance,SWIFT Transfer,3,51
1,Forex,Banking Tech & Digital Services,Reward Points Inquiry,2,46
2,Forex,Credit Cards,Car Loan,2,26
10,Credit,International Transactions,Reward Points Inquiry,3,17
9,General Banking,Mortgage & Secured Loans,Cash Currency Exchange,2,75
9,Forex,Trade Finance,Loan Against Property,2,17
10,Forex,Trade Finance,Personal Loan,2,28
4,Forex,Retail Loans,Loan Against Property,1,25
4,Forex,Banking Tech & Digital Services,Home Loan,2,30
1,General Banking,Accounts & Deposits,Letter of Credit,2,21
8,General Banking,International Transactions,Debit Card Activation,1,66
10,Forex,Microfinance & Agricultural Loans,Letter of Credit,1,19
5,Forex,International Transactions,Education Loan,3,5
8,Credit,Currency Exchange,Fixed Deposit,1,23
7,Credit,KYC & Documentation,Net Banking Login Issue,1,77
10,General Banking,Mortgage & Secured Loans,NRE/NRO Account Opening,2,12
9,Forex,Retail Loans,Loan Against Property,1,15
7,Credit,Retail Loans,Fixed Deposit,1,22
4,Credit,Foreign Investments & NRI Banking,Letter of Credit,1,3
9,Credit,International Transactions,NRE/NRO Account Opening,1,86
5,Credit,Trade Finance,Fixed Deposit,1,77
9,Forex,Banking Tech & Digital Services,Mobile Banking Issue,2,26
4,Credit,Credit Cards,Mobile Banking Issue,2,72
4,Credit,Credit Cards,Foreign Exchange Rates Inquiry,1,86
5,General Banking,Mortgage & Secured Loans,Mobile Banking Issue,1,15
4,Forex,Microfinance & Agricultural Loans,Education Loan,3,21
10,Credit,Trade Finance,SWIFT Transfer,3,16
9,Credit,Retail Loans,Home Loan,1,37
8,Credit,Banking Tech & Digital Services,Letter of Credit,2,78
7,Forex,Corporate Loans,Foreign Exchange Rates Inquiry,2,31
10,Credit,International Transactions,NRE/NRO Account Opening,1,24
7,Credit,Corporate Loans,Cash Currency Exchange,1,86
9,Forex,International Transactions,Repatriation of Funds,3,3
9,General Banking,Transactions & Payments,Bank Guarantee,1,13
9,Credit,Banking Tech & Digital Services,Reward Points Inquiry,1,17
4,Credit,Microfinance & Agricultural Loans,Loan Against Property,3,10
6,Forex,Credit Cards,Home Loan,2,4
3,General Banking,KYC & Documentation,Letter of Credit,1,59
4,General Banking,Microfinance & Agricultural Loans,SWIFT Transfer,1,8
2,General Banking,Corporate Loans,Mobile Banking Issue,1,73
10,General Banking,Microfinance & Agricultural Loans,SWIFT Transfer,3,69
4,Forex,KYC & Documentation,Debit Card Activation,2,3
9,General Banking,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,3,75
8,General Banking,Foreign Investments & NRI Banking,Working Capital Loan,1,26
8,General Banking,Mortgage & Secured Loans,Car Loan,1,86
1,Credit,Transactions & Payments,NRE/NRO Account Opening,3,86
4,Credit,Microfinance & Agricultural Loans,Bank Guarantee,3,7
1,Forex,Transactions & Payments,Fixed Deposit,1,8
8,Credit,KYC & Documentation,Home Loan,1,86
4,Credit,Accounts & Deposits,Cash Currency Exchange,3,3
1,Credit,Mortgage & Secured Loans,Car Loan,2,86
6,Forex,Accounts & Deposits,Education Loan,2,80
7,General Banking,Microfinance & Agricultural Loans,SWIFT Transfer,2,62
3,Forex,Banking Tech & Digital Services,Home Loan,3,30
1,General Banking,Microfinance & Agricultural Loans,Home Loan,1,86
7,General Banking,Foreign Investments & NRI Banking,Working Capital Loan,2,10
4,Forex,Accounts & Deposits,Education Loan,3,3
1,Credit,Credit Cards,Letter of Credit,1,24
5,Forex,Accounts & Deposits,Letter of Credit,3,26
7,General Banking,Mortgage & Secured Loans,Fixed Deposit,1,38
6,Credit,Corporate Loans,Car Loan,1,12
4,Forex,KYC & Documentation,SWIFT Transfer,2,3
8,Credit,International Transactions,Fixed Deposit,2,5
9,Credit,Foreign Investments & NRI Banking,Education Loan,3,71
5,General Banking,International Transactions,Foreign Exchange Rates Inquiry,2,11
7,General Banking,Transactions & Payments,Education Loan,1,24
6,Credit,Foreign Investments & NRI Banking,Credit Limit Increase,3,56
10,Forex,International Transactions,Home Loan,1,15
8,Credit,Currency Exchange,Home Loan,1,35
10,Forex,Accounts & Deposits,Debit Card Activation,1,73
9,General Banking,Mortgage & Secured Loans,NRE/NRO Account Opening,2,40
1,Forex,KYC & Documentation,Cash Currency Exchange,2,14
8,Forex,Microfinance & Agricultural Loans,Education Loan,2,77
8,General Banking,Foreign Investments & NRI Banking,Bank Guarantee,3,86
1,General Banking,Retail Loans,Credit Limit Increase,1,69
5,Credit,Trade Finance,Education Loan,3,71
5,General Banking,Transactions & Payments,Letter of Credit,3,17
6,General Banking,International Transactions,Cash Currency Exchange,1,21
9,Credit,Retail Loans,Fixed Deposit,1,26
7,Forex,Mortgage & Secured Loans,Fixed Deposit,2,13
5,Credit,Foreign Investments & NRI Banking,NRE/NRO Account Opening,1,32
10,Forex,Trade Finance,Cash Currency Exchange,1,17
1,Credit,Currency Exchange,Foreign Exchange Rates Inquiry,1,29
3,Forex,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,1,23
4,General Banking,Credit Cards,SWIFT Transfer,2,16
9,Credit,Microfinance & Agricultural Loans,Fixed Deposit,1,32
10,Forex,Microfinance & Agricultural Loans,Car Loan,1,3
10,Forex,International Transactions,NEFT/RTGS/IMPS Issue,1,64
10,General Banking,Retail Loans,Lost/Stolen Card,1,9
3,Forex,Retail Loans,Education Loan,2,28
9,Forex,Microfinance & Agricultural Loans,Cash Currency Exchange,1,27
8,Forex,Trade Finance,Car Loan,1,37
4,Forex,Trade Finance,Working Capital Loan,3,3
8,Credit,Retail Loans,Personal Loan,3,21
6,General Banking,Accounts & Deposits,Debit Card Activation,1,32
9,General Banking,Trade Finance,Education Loan,1,70
1,General Banking,Microfinance & Agricultural Loans,Working Capital Loan,2,3
5,Forex,Banking Tech & Digital Services,Fixed Deposit,1,86
6,General Banking,Trade Finance,Education Loan,2,85
4,Credit,International Transactions,Debit Card Activation,1,7
5,Forex,Retail Loans,SWIFT Transfer,2,3
5,General Banking,Corporate Loans,SWIFT Transfer,1,9
7,Credit,Mortgage & Secured Loans,Cash Currency Exchange,3,43
8,General Banking,International Transactions,Education Loan,3,23
9,Forex,Transactions & Payments,Letter of Credit,2,5
10,Credit,Retail Loans,NEFT/RTGS/IMPS Issue,1,29
6,General Banking,Retail Loans,Car Loan,2,66
9,General Banking,Retail Loans,Debit Card Activation,2,50
7,Forex,Trade Finance,Repatriation of Funds,2,60
5,Credit,Accounts & Deposits,Net Banking Login Issue,2,20
7,General Banking,Microfinance & Agricultural Loans,Savings Account,1,18
8,Credit,Credit Cards,Car Loan,3,19
7,Forex,KYC & Documentation,Cash Currency Exchange,1,50
4,Forex,Accounts & Deposits,Fixed Deposit,1,31
6,Forex,Mortgage & Secured Loans,Net Banking Login Issue,2,38
10,Forex,Transactions & Payments,Education Loan,3,9
1,General Banking,Corporate Loans,Reward Points Inquiry,2,3
2,Credit,Banking Tech & Digital Services,Letter of Credit,2,71
9,Forex,KYC & Documentation,Letter of Credit,1,82
5,General Banking,Currency Exchange,Education Loan,1,19
8,Credit,Banking Tech & Digital Services,Education Loan,1,67
7,Forex,Retail Loans,Cash Currency Exchange,1,20
4,Forex,Credit Cards,NRE/NRO Account Opening,3,86
10,Credit,Credit Cards,Education Loan,3,62
10,Forex,International Transactions,Car Loan,1,58
9,Credit,Corporate Loans,Cash Currency Exchange,2,18
5,Credit,Currency Exchange,Foreign Exchange Rates Inquiry,1,67
3,Forex,KYC & Documentation,Foreign Exchange Rates Inquiry,3,3
4,General Banking,KYC & Documentation,Home Loan,1,31
6,Credit,Foreign Investments & NRI Banking,Mobile Banking Issue,2,23
5,Forex,Credit Cards,Reward Points Inquiry,3,3
6,Forex,Currency Exchange,Cash Currency Exchange,2,28
1,Credit,KYC & Documentation,Debit Card Activation,3,5
1,Credit,International Transactions,Car Loan,1,20
9,Forex,Foreign Investments & NRI Banking,Debit Card Activation,2,4
1,Forex,International Transactions,Car Loan,2,86
6,Forex,Currency Exchange,Mobile Banking Issue,1,3
6,Forex,Accounts & Deposits,SWIFT Transfer,2,22
10,Forex,Corporate Loans,Loan Against Property,3,7
5,General Banking,Mortgage & Secured Loans,Car Loan,3,22
1,Credit,Credit Cards,Working Capital Loan,1,12
6,General Banking,Mortgage & Secured Loans,Personal Loan,1,10
10,General Banking,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,1,10
6,Forex,Microfinance & Agricultural Loans,Letter of Credit,3,45
10,General Banking,Microfinance & Agricultural Loans,Reward Points Inquiry,3,27
6,General Banking,Foreign Investments & NRI Banking,Reward Points Inquiry,2,54
7,Credit,Retail Loans,Mobile Banking Issue,2,3
5,Forex,Credit Cards,SWIFT Transfer,3,86
9,Credit,Corporate Loans,Working Capital Loan,1,8
5,Forex,Microfinance & Agricultural Loans,NEFT/RTGS/IMPS Issue,2,24
5,Credit,International Transactions,NEFT/RTGS/IMPS Issue,1,63
3,General Banking,Corporate Loans,Fixed Deposit,1,65
9,General Banking,International Transactions,Car Loan,1,60
1,General Banking,Accounts & Deposits,Car Loan,3,9
1,Forex,Credit Cards,Debit Card Activation,2,35
7,Credit,Banking Tech & Digital Services,Car Loan,2,31
7,Forex,Foreign Investments & NRI Banking,Home Loan,1,25
1,Credit,Credit Cards,Mobile Banking Issue,1,3
6,Credit,Corporate Loans,Cash Currency Exchange,2,7
10,Forex,Trade Finance,Reward Points Inquiry,1,7
9,Credit,Transactions & Payments,Reward Points Inquiry,1,57
7,Credit,Retail Loans,Reward Points Inquiry,3,3
6,Credit,Foreign Investments & NRI Banking,Fixed Deposit,1,15
7,General Banking,Banking Tech & Digital Services,Cash Currency Exchange,1,31
4,Credit,International Transactions,Education Loan,1,20
7,Forex,KYC & Documentation,Foreign Exchange Rates Inquiry,2,18
6,Forex,Transactions & Payments,Loan Against Property,1,17
8,Credit,Banking Tech & Digital Services,Car Loan,1,14
4,General Banking,Corporate Loans,Working Capital Loan,1,20
1,Credit,Retail Loans,NRE/NRO Account Opening,3,9
7,General Banking,Mortgage & Secured Loans,Home Loan,3,55
10,Forex,Banking Tech & Digital Services,Credit Limit Increase,1,26
10,Forex,Mortgage & Secured Loans,Home Loan,3,10
8,General Banking,KYC & Documentation,Debit Card Activation,1,86
9,Forex,KYC & Documentation,Cash Currency Exchange,3,3
4,Forex,Microfinance & Agricultural Loans,SWIFT Transfer,1,86
7,Forex,Corporate Loans,Working Capital Loan,1,86
10,Forex,Transactions & Payments,Foreign Exchange Rates Inquiry,1,31
8,Credit,Trade Finance,Education Loan,2,49
5,Credit,Mortgage & Secured Loans,Loan Against Property,1,10
10,Credit,Microfinance & Agricultural Loans,Home Loan,3,72
5,Credit,KYC & Documentation,Letter of Credit,2,31
9,Credit,Retail Loans,Car Loan,1,3
1,General Banking,Transactions & Payments,Foreign Exchange Rates Inquiry,1,5
9,General Banking,Microfinance & Agricultural Loans,Home Loan,1,60
1,Credit,International Transactions,NEFT/RTGS/IMPS Issue,1,3
8,Forex,Transactions & Payments,Fixed Deposit,1,3
5,Credit,Corporate Loans,Debit Card Activation,3,48
1,Forex,Credit Cards,Fixed Deposit,2,22
4,Forex,Credit Cards,Letter of Credit,2,63
6,Credit,Corporate Loans,Credit Limit Increase,1,25
6,Forex,International Transactions,Debit Card Activation,2,3
6,General Banking,Currency Exchange,Fixed Deposit,2,9
6,Forex,Retail Loans,Fixed Deposit,1,17
6,Credit,Trade Finance,Education Loan,1,3
7,Credit,Microfinance & Agricultural Loans,NRE/NRO Account Opening,3,19
3,General Banking,International Transactions,Foreign Exchange Rates Inquiry,1,42
7,Forex,Foreign Investments & NRI Banking,Credit Limit Increase,1,19
9,Forex,International Transactions,Home Loan,1,86
4,Forex,Trade Finance,NRE/NRO Account Opening,3,31
7,Credit,Retail Loans,Debit Card Activation,1,11
10,Credit,Retail Loans,SWIFT Transfer,1,3
7,Forex,Corporate Loans,SWIFT Transfer,2,3
6,Forex,Credit Cards,Working Capital Loan,2,39
1,Forex,International Transactions,NRE/NRO Account Opening,2,17
4,Forex,Credit Cards,Net Banking Login Issue,2,67
10,Credit,Credit Cards,Reward Points Inquiry,1,22
5,General Banking,Banking Tech & Digital Services,Bank Guarantee,2,12
5,General Banking,Banking Tech & Digital Services,SWIFT Transfer,3,24
7,Credit,Banking Tech & Digital Services,Loan Against Property,1,3
5,Credit,Credit Cards,NEFT/RTGS/IMPS Issue,1,19
1,Credit,Credit Cards,Reward Points Inquiry,2,10
6,General Banking,Trade Finance,Loan Against Property,1,5
6,Forex,Trade Finance,Mobile Banking Issue,1,22
5,Forex,Retail Loans,Debit Card Activation,2,84
7,General Banking,Retail Loans,Mobile Banking Issue,2,39
9,Credit,Retail Loans,Reward Points Inquiry,2,3
6,Credit,Credit Cards,Savings Account,1,86
3,Credit,Foreign Investments & NRI Banking,Home Loan,3,79
8,Credit,Trade Finance,Reward Points Inquiry,3,8
9,Credit,Foreign Investments & NRI Banking,Education Loan,3,62
5,General Banking,Trade Finance,NRE/NRO Account Opening,1,78
9,Credit,Currency Exchange,Education Loan,1,48
6,Forex,Trade Finance,Education Loan,3,85
1,Forex,Retail Loans,Fixed Deposit,2,63
5,Forex,International Transactions,Reward Points Inquiry,2,53
8,Credit,Foreign Investments & NRI Banking,SWIFT Transfer,1,28
8,Forex,Microfinance & Agricultural Loans,Working Capital Loan,2,61
1,Credit,Trade Finance,Fixed Deposit,1,86
3,Credit,Corporate Loans,Reward Points Inquiry,1,33
7,Credit,Accounts & Deposits,Foreign Exchange Rates Inquiry,1,7
8,Forex,Foreign Investments & NRI Banking,Cash Currency Exchange,1,9
1,Forex,Currency Exchange,NRE/NRO Account Opening,2,25
1,Credit,Credit Cards,Car Loan,3,3
6,Forex,KYC & Documentation,NRE/NRO Account Opening,3,3
6,Credit,International Transactions,Lost/Stolen Card,2,86
7,General Banking,Retail Loans,Cash Currency Exchange,2,29
5,Forex,Foreign Investments & NRI Banking,NRE/NRO Account Opening,2,25
5,Forex,International Transactions,Working Capital Loan,3,20
6,General Banking,Currency Exchange,Working Capital Loan,2,64
6,General Banking,Credit Cards,SWIFT Transfer,3,27
10,Credit,Banking Tech & Digital Services,Car Loan,1,36
7,General Banking,Trade Finance,Car Loan,1,54
8,Credit,KYC & Documentation,Education Loan,2,21
7,General Banking,Corporate Loans,Education Loan,2,86
4,General Banking,Banking Tech & Digital Services,SWIFT Transfer,2,17
10,Credit,International Transactions,Education Loan,2,15
10,Forex,Transactions & Payments,Education Loan,1,82
1,Forex,Credit Cards,Education Loan,1,3
6,General Banking,Mortgage & Secured Loans,Cash Currency Exchange,1,85
9,Forex,Foreign Investments & NRI Banking,Reward Points Inquiry,1,55
9,General Banking,KYC & Documentation,Lost/Stolen Card,1,3
1,Credit,Trade Finance,Education Loan,3,27
2,Credit,Accounts & Deposits,Foreign Exchange Rates Inquiry,1,60
7,Credit,Microfinance & Agricultural Loans,Cash Currency Exchange,3,86
1,Forex,KYC & Documentation,SWIFT Transfer,2,65
6,Forex,Microfinance & Agricultural Loans,Debit Card Activation,2,80
