Priority Score,Department,Sub-Department,Service Request,Service Request Level,Resolution Time (Minutes)
10,Credit,Banking Tech & Digital Services,Bank Guarantee,1,3.0
4,Credit,Retail Loans,Foreign Exchange Rates Inquiry,2,6.2
10,General Banking,International Transactions,Fixed Deposit,3,3.0
10,General Banking,Currency Exchange,SWIFT Transfer,3,14.2
10,Credit,Trade Finance,Cash Currency Exchange,2,16.9
6,General Banking,Banking Tech & Digital Services,NEFT/RTGS/IMPS Issue,1,3.0
5,Credit,KYC & Documentation,Car Loan,2,3.0
7,Forex,International Transactions,Repatriation of Funds,1,19.1
10,Credit,International Transactions,NRE/NRO Account Opening,2,3.0
10,General Banking,Credit Cards,Debit Card Activation,3,51.2
4,Credit,Corporate Loans,SWIFT Transfer,3,3.0
10,Credit,International Transactions,Bank Guarantee,1,7.4
5,Credit,Banking Tech & Digital Services,Net Banking Login Issue,1,8.4
2,Credit,Banking Tech & Digital Services,Education Loan,1,33.3
10,Credit,Trade Finance,Mobile Banking Issue,2,3.0
7,Forex,Foreign Investments & NRI Banking,Personal Loan,1,14.3
2,Credit,Microfinance & Agricultural Loans,Education Loan,1,51.9
10,Forex,Corporate Loans,Personal Loan,2,3.0
10,Credit,Currency Exchange,Education Loan,2,4.6
10,Credit,International Transactions,Lost/Stolen Card,1,3.0
10,Credit,Corporate Loans,Working Capital Loan,1,3.0
10,Forex,Trade Finance,Education Loan,2,13.4
6,Credit,Transactions & Payments,Loan Against Property,1,3.0
7,Credit,Corporate Loans,Net Banking Login Issue,2,3.0
10,Forex,Microfinance & Agricultural Loans,Letter of Credit,2,3.0
10,Forex,Accounts & Deposits,Repatriation of Funds,3,3.0
10,General Banking,Currency Exchange,Home Loan,1,60.0
6,General Banking,Foreign Investments & NRI Banking,Fixed Deposit,1,3.0
7,Credit,Foreign Investments & NRI Banking,Repatriation of Funds,2,52.0
10,Credit,Foreign Investments & NRI Banking,Personal Loan,1,15.3
4,General Banking,Microfinance & Agricultural Loans,Loan Against Property,3,3.0
5,Credit,Accounts & Deposits,Car Loan,1,12.1
8,General Banking,Microfinance & Agricultural Loans,Car Loan,1,3.0
6,Forex,Cards & Banking Services,SWIFT Transfer,1,35.0
9,Forex,Retail Loans,Loan Against Property,2,47.4
5,Forex,Cards & Banking Services,Loan Against Property,2,3.0
9,Credit,Credit Cards,Bank Guarantee,2,3.0
8,Credit,International Transactions,Repatriation of Funds,1,3.6
2,Forex,Microfinance & Agricultural Loans,Mobile Banking Issue,1,35.8
4,Credit,Trade Finance,Cash Currency Exchange,3,23.3
10,General Banking,Cards & Banking Services,Loan Against Property,1,19.3
10,Credit,Mortgage & Secured Loans,Debit Card Activation,3,6.2
10,Forex,Cards & Banking Services,Cash Currency Exchange,2,59.9
10,Forex,Cards & Banking Services,Foreign Exchange Rates Inquiry,2,31.8
6,Credit,Transactions & Payments,Bank Guarantee,1,4.6
7,General Banking,Microfinance & Agricultural Loans,Personal Loan,1,41.8
10,General Banking,Currency Exchange,Fixed Deposit,1,20.2
9,Forex,Accounts & Deposits,SWIFT Transfer,1,3.0
10,Credit,KYC & Documentation,Reward Points Inquiry,2,3.0
1,General Banking,Foreign Investments & NRI Banking,NRE/NRO Account Opening,1,33.7
4,Credit,KYC & Documentation,Cash Currency Exchange,2,3.0
8,Forex,Corporate Loans,Mobile Banking Issue,2,3.0
10,Credit,Cards & Banking Services,Cash Currency Exchange,2,26.9
8,Forex,Banking Tech & Digital Services,Car Loan,3,3.0
9,General Banking,Retail Loans,Lost/Stolen Card,2,16.5
10,General Banking,KYC & Documentation,Home Loan,1,3.0
9,Credit,Trade Finance,Current Account,3,3.0
6,General Banking,Transactions & Payments,Working Capital Loan,3,3.0
10,Forex,KYC & Documentation,Car Loan,3,32.2
4,General Banking,Corporate Loans,Letter of Credit,2,3.0
1,Forex,Cards & Banking Services,Foreign Exchange Rates Inquiry,1,16.0
2,Forex,Corporate Loans,Recurring Deposit,1,70.6
10,Credit,Corporate Loans,Bank Guarantee,2,3.0
5,Forex,Foreign Investments & NRI Banking,SWIFT Transfer,3,3.0
9,Credit,Trade Finance,Reward Points Inquiry,2,3.0
9,Credit,Credit Cards,Debit Card Activation,1,9.6
7,General Banking,Banking Tech & Digital Services,Education Loan,1,17.1
2,Forex,Retail Loans,Savings Account,1,3.0
10,General Banking,Retail Loans,Savings Account,2,6.5
2,Forex,Accounts & Deposits,Car Loan,1,10.4
10,Credit,Banking Tech & Digital Services,Bank Guarantee,3,20.3
4,General Banking,Foreign Investments & NRI Banking,Working Capital Loan,1,3.0
10,Forex,Currency Exchange,Letter of Credit,1,5.6
7,Credit,Microfinance & Agricultural Loans,Letter of Credit,2,63.9
10,Forex,Trade Finance,Foreign Exchange Rates Inquiry,2,8.2
10,General Banking,KYC & Documentation,Education Loan,2,47.6
9,General Banking,Banking Tech & Digital Services,Credit Limit Increase,1,3.0
6,Forex,Banking Tech & Digital Services,Current Account,2,4.5
10,General Banking,Retail Loans,Debit Card Activation,1,39.4
6,General Banking,Credit Cards,Loan Against Property,2,3.0
8,Credit,Credit Cards,Fixed Deposit,1,3.0
7,Credit,Transactions & Payments,Home Loan,2,4.2
2,Forex,Trade Finance,Lost/Stolen Card,3,3.0
2,Forex,Accounts & Deposits,Current Account,1,58.8
9,Forex,Mortgage & Secured Loans,Working Capital Loan,2,82.3
10,Forex,Retail Loans,Debit Card Activation,3,20.6
7,Forex,Corporate Loans,Car Loan,2,3.0
10,Forex,Credit Cards,Education Loan,1,20.6
9,Forex,International Transactions,Letter of Credit,2,65.2
8,Forex,Currency Exchange,Loan Against Property,1,141.0
10,General Banking,Cards & Banking Services,Loan Against Property,1,53.6
10,General Banking,Banking Tech & Digital Services,Current Account,1,3.0
7,Credit,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,3,3.0
9,Credit,Foreign Investments & NRI Banking,SWIFT Transfer,1,3.0
4,General Banking,KYC & Documentation,Recurring Deposit,2,3.0
7,General Banking,Transactions & Payments,Foreign Exchange Rates Inquiry,3,3.0
10,Credit,Credit Cards,Lost/Stolen Card,2,11.2
6,Forex,KYC & Documentation,Current Account,2,3.0
10,General Banking,Microfinance & Agricultural Loans,Recurring Deposit,1,3.0
10,General Banking,Transactions & Payments,Loan Against Property,1,37.5
9,Credit,Microfinance & Agricultural Loans,Debit Card Activation,1,3.0
10,Credit,Foreign Investments & NRI Banking,Loan Against Property,3,17.9
10,Forex,Trade Finance,Savings Account,2,3.0
10,Forex,Banking Tech & Digital Services,Net Banking Login Issue,2,5.3
8,Forex,KYC & Documentation,Car Loan,2,3.0
10,Forex,Mortgage & Secured Loans,Car Loan,3,3.0
4,General Banking,Mortgage & Secured Loans,Reward Points Inquiry,3,27.5
6,General Banking,International Transactions,Personal Loan,2,3.0
8,Credit,International Transactions,Working Capital Loan,1,10.4
10,Forex,International Transactions,NEFT/RTGS/IMPS Issue,2,3.0
10,Credit,KYC & Documentation,Letter of Credit,2,3.0
3,General Banking,Mortgage & Secured Loans,Debit Card Activation,1,3.0
10,Credit,Mortgage & Secured Loans,Net Banking Login Issue,2,51.5
3,Forex,Trade Finance,Fixed Deposit,2,4.7
5,General Banking,Credit Cards,Foreign Exchange Rates Inquiry,1,3.0
8,Credit,Trade Finance,Loan Against Property,3,20.4
9,Forex,Accounts & Deposits,Recurring Deposit,1,3.0
7,Credit,Trade Finance,Cash Currency Exchange,2,9.1
10,General Banking,International Transactions,NEFT/RTGS/IMPS Issue,1,3.0
10,Forex,Trade Finance,Education Loan,1,3.0
10,Forex,Corporate Loans,Loan Against Property,1,78.2
10,Credit,Currency Exchange,Bank Guarantee,1,3.0
9,Credit,Mortgage & Secured Loans,Debit Card Activation,1,26.6
10,General Banking,Transactions & Payments,Reward Points Inquiry,1,3.0
10,Credit,Retail Loans,Current Account,2,3.0
9,Forex,Accounts & Deposits,Cash Currency Exchange,3,8.8
2,Credit,Accounts & Deposits,Savings Account,3,12.4
10,Forex,Cards & Banking Services,Repatriation of Funds,2,3.0
6,Forex,KYC & Documentation,Bank Guarantee,3,3.0
10,Credit,International Transactions,Cash Currency Exchange,2,3.0
4,Credit,KYC & Documentation,Savings Account,3,12.5
10,General Banking,Banking Tech & Digital Services,SWIFT Transfer,3,3.0
10,General Banking,Banking Tech & Digital Services,Education Loan,1,11.9
9,Credit,Corporate Loans,Home Loan,2,3.0
4,Forex,Credit Cards,Repatriation of Funds,3,19.5
10,General Banking,Accounts & Deposits,Savings Account,1,40.1
9,Credit,Retail Loans,Education Loan,2,15.5
4,Credit,Mortgage & Secured Loans,Mobile Banking Issue,3,24.7
10,General Banking,Foreign Investments & NRI Banking,Reward Points Inquiry,1,5.0
10,General Banking,Foreign Investments & NRI Banking,Car Loan,2,3.0
10,Credit,Currency Exchange,Personal Loan,1,52.0
10,Credit,Retail Loans,Credit Limit Increase,3,24.0
9,General Banking,Transactions & Payments,Repatriation of Funds,1,38.0
9,Forex,Corporate Loans,Reward Points Inquiry,3,8.0
7,General Banking,Microfinance & Agricultural Loans,NEFT/RTGS/IMPS Issue,1,3.0
7,Credit,Foreign Investments & NRI Banking,Working Capital Loan,3,31.3
10,Credit,KYC & Documentation,Education Loan,1,83.1
9,General Banking,Microfinance & Agricultural Loans,Personal Loan,1,34.3
4,Credit,Credit Cards,Letter of Credit,2,3.0
10,Credit,Credit Cards,Education Loan,2,64.3
10,Forex,International Transactions,Home Loan,2,3.0
6,General Banking,Cards & Banking Services,Foreign Exchange Rates Inquiry,3,19.3
10,General Banking,Foreign Investments & NRI Banking,Education Loan,1,16.7
10,Forex,Trade Finance,Current Account,2,3.0
6,General Banking,Trade Finance,Car Loan,2,37.4
10,Forex,International Transactions,Current Account,2,3.0
10,General Banking,Accounts & Deposits,Education Loan,1,31.4
3,Forex,Microfinance & Agricultural Loans,NEFT/RTGS/IMPS Issue,2,3.0
10,Forex,Trade Finance,Fixed Deposit,1,101.8
7,Forex,Accounts & Deposits,Bank Guarantee,2,15.9
10,Credit,Mortgage & Secured Loans,Education Loan,2,3.0
7,General Banking,Transactions & Payments,Loan Against Property,2,12.4
10,General Banking,Credit Cards,Bank Guarantee,3,50.2
9,Forex,Transactions & Payments,Reward Points Inquiry,2,117.5
10,Credit,Retail Loans,Mobile Banking Issue,1,21.4
9,Forex,Mortgage & Secured Loans,Reward Points Inquiry,2,24.2
9,Forex,Transactions & Payments,NEFT/RTGS/IMPS Issue,2,3.0
1,Forex,Credit Cards,Savings Account,3,9.5
7,Forex,Accounts & Deposits,NEFT/RTGS/IMPS Issue,2,20.1
5,Credit,Microfinance & Agricultural Loans,Mobile Banking Issue,3,3.0
10,Credit,Foreign Investments & NRI Banking,Loan Against Property,1,25.2
8,Forex,Retail Loans,Fixed Deposit,2,17.2
10,Credit,Corporate Loans,Car Loan,3,3.0
8,Forex,Banking Tech & Digital Services,NEFT/RTGS/IMPS Issue,1,3.0
2,Forex,Trade Finance,Recurring Deposit,3,11.6
10,Credit,Retail Loans,Mobile Banking Issue,3,50.8
10,Forex,Credit Cards,SWIFT Transfer,1,8.0
8,General Banking,Trade Finance,Education Loan,3,3.0
5,Credit,KYC & Documentation,Cash Currency Exchange,2,57.5
10,Credit,Microfinance & Agricultural Loans,Loan Against Property,2,3.0
7,General Banking,Corporate Loans,Car Loan,1,9.4
7,Credit,Transactions & Payments,Cash Currency Exchange,1,3.0
10,General Banking,Credit Cards,Foreign Exchange Rates Inquiry,3,3.0
10,General Banking,Banking Tech & Digital Services,Mobile Banking Issue,3,40.8
2,General Banking,Microfinance & Agricultural Loans,Credit Limit Increase,1,3.0
6,Credit,Corporate Loans,Foreign Exchange Rates Inquiry,2,50.5
8,General Banking,KYC & Documentation,Net Banking Login Issue,1,152.5
5,General Banking,Banking Tech & Digital Services,Credit Limit Increase,2,3.8
10,Forex,KYC & Documentation,Letter of Credit,1,26.4
10,Forex,Currency Exchange,Debit Card Activation,2,30.7
9,General Banking,KYC & Documentation,Cash Currency Exchange,1,9.9
7,Credit,Transactions & Payments,Working Capital Loan,1,3.0
5,General Banking,Corporate Loans,Education Loan,2,3.0
2,Credit,Foreign Investments & NRI Banking,Cash Currency Exchange,1,3.0
8,Forex,Mortgage & Secured Loans,Repatriation of Funds,2,48.8
10,General Banking,Microfinance & Agricultural Loans,Education Loan,1,18.6
9,Forex,Foreign Investments & NRI Banking,NRE/NRO Account Opening,2,3.0
10,Credit,Cards & Banking Services,Debit Card Activation,3,3.0
9,General Banking,Currency Exchange,SWIFT Transfer,1,3.0
3,Credit,Mortgage & Secured Loans,Reward Points Inquiry,1,3.0
7,Credit,International Transactions,Credit Limit Increase,2,3.9
8,Forex,Transactions & Payments,Foreign Exchange Rates Inquiry,2,57.9
7,Forex,Credit Cards,Cash Currency Exchange,1,3.0
6,Credit,Retail Loans,Foreign Exchange Rates Inquiry,3,3.0
7,Forex,Foreign Investments & NRI Banking,Mobile Banking Issue,2,13.9
3,Credit,Cards & Banking Services,Mobile Banking Issue,3,3.0
4,General Banking,Foreign Investments & NRI Banking,Car Loan,1,94.5
8,Credit,Corporate Loans,Current Account,3,3.0
7,Credit,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,1,35.7
10,Forex,International Transactions,Home Loan,1,42.0
2,Forex,International Transactions,Fixed Deposit,2,7.9
10,General Banking,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,2,28.5
10,Credit,KYC & Documentation,Mobile Banking Issue,1,59.6
5,Forex,Foreign Investments & NRI Banking,Education Loan,1,7.9
7,Forex,Foreign Investments & NRI Banking,Loan Against Property,1,7.7
8,Credit,Retail Loans,Cash Currency Exchange,2,147.6
3,Credit,Corporate Loans,SWIFT Transfer,2,19.3
10,Forex,Trade Finance,Debit Card Activation,3,3.0
7,General Banking,Transactions & Payments,Debit Card Activation,1,40.9
2,Credit,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,2,30.8
6,Credit,Currency Exchange,Fixed Deposit,1,3.3
4,Forex,Corporate Loans,Current Account,2,127.1
5,General Banking,Cards & Banking Services,SWIFT Transfer,2,22.1
5,General Banking,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,2,22.4
8,Forex,Currency Exchange,Home Loan,2,3.0
10,Forex,Foreign Investments & NRI Banking,Debit Card Activation,1,15.6
10,Forex,Credit Cards,Savings Account,1,30.5
5,Credit,Mortgage & Secured Loans,Car Loan,3,3.0
8,Forex,Credit Cards,Foreign Exchange Rates Inquiry,3,13.2
10,General Banking,Credit Cards,Loan Against Property,3,8.4
8,Forex,Banking Tech & Digital Services,Current Account,1,7.8
9,General Banking,International Transactions,Bank Guarantee,1,3.0
10,General Banking,Credit Cards,NEFT/RTGS/IMPS Issue,2,11.3
9,General Banking,International Transactions,Cash Currency Exchange,1,107.0
3,General Banking,Trade Finance,Working Capital Loan,2,5.7
5,General Banking,Credit Cards,Home Loan,3,3.0
10,General Banking,Accounts & Deposits,Car Loan,2,7.0
9,Credit,International Transactions,Savings Account,3,3.0
8,General Banking,Retail Loans,Lost/Stolen Card,3,34.7
10,Forex,KYC & Documentation,Mobile Banking Issue,1,58.4
10,Credit,Cards & Banking Services,Foreign Exchange Rates Inquiry,2,163.0
1,Credit,KYC & Documentation,Car Loan,3,7.2
5,General Banking,Transactions & Payments,Repatriation of Funds,3,64.3
10,Credit,Credit Cards,Current Account,3,20.5
10,General Banking,Mortgage & Secured Loans,Recurring Deposit,3,3.1
10,Forex,Retail Loans,Savings Account,2,27.9
6,Credit,Banking Tech & Digital Services,Credit Limit Increase,2,138.3
10,Credit,Transactions & Payments,Debit Card Activation,3,13.5
10,Credit,KYC & Documentation,Foreign Exchange Rates Inquiry,1,3.0
10,Credit,Cards & Banking Services,Cash Currency Exchange,3,3.0
6,Forex,Trade Finance,Personal Loan,3,66.2
10,Forex,KYC & Documentation,Car Loan,2,10.0
10,General Banking,Transactions & Payments,Mobile Banking Issue,2,21.7
8,General Banking,Retail Loans,Net Banking Login Issue,2,72.3
7,Forex,Foreign Investments & NRI Banking,Net Banking Login Issue,2,3.0
10,Credit,Banking Tech & Digital Services,Recurring Deposit,2,43.3
8,General Banking,Retail Loans,Reward Points Inquiry,3,3.0
5,Credit,Banking Tech & Digital Services,Reward Points Inquiry,3,3.0
7,Credit,Mortgage & Secured Loans,Letter of Credit,2,3.0
5,General Banking,Mortgage & Secured Loans,Education Loan,3,24.3
10,Forex,International Transactions,Mobile Banking Issue,3,48.4
6,General Banking,Credit Cards,Bank Guarantee,2,28.1
8,General Banking,Foreign Investments & NRI Banking,Car Loan,1,24.3
2,General Banking,Corporate Loans,Working Capital Loan,3,31.2
10,Forex,Banking Tech & Digital Services,Savings Account,2,3.0
4,General Banking,Cards & Banking Services,Credit Limit Increase,2,3.0
10,Credit,Currency Exchange,Home Loan,3,30.9
10,Forex,Banking Tech & Digital Services,NEFT/RTGS/IMPS Issue,3,22.4
7,General Banking,Accounts & Deposits,Personal Loan,1,3.2
4,General Banking,International Transactions,Cash Currency Exchange,3,10.2
1,Credit,Trade Finance,Bank Guarantee,3,5.3
10,Forex,Retail Loans,Savings Account,1,3.0
2,General Banking,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,1,3.0
4,General Banking,Corporate Loans,Credit Limit Increase,1,45.1
8,Forex,Retail Loans,Debit Card Activation,3,3.0
10,Forex,Cards & Banking Services,Loan Against Property,1,40.6
10,Forex,Banking Tech & Digital Services,Cash Currency Exchange,2,18.6
3,General Banking,Mortgage & Secured Loans,Personal Loan,1,3.0
6,Forex,Microfinance & Agricultural Loans,Current Account,2,48.3
7,Forex,KYC & Documentation,NRE/NRO Account Opening,3,3.0
10,Credit,International Transactions,Cash Currency Exchange,2,7.1
7,Forex,Microfinance & Agricultural Loans,Debit Card Activation,2,9.1
9,General Banking,Microfinance & Agricultural Loans,Net Banking Login Issue,2,17.5
3,Credit,Foreign Investments & NRI Banking,Car Loan,3,3.0
10,General Banking,Trade Finance,Home Loan,1,3.0
7,General Banking,Cards & Banking Services,Personal Loan,2,21.4
10,Forex,Currency Exchange,Lost/Stolen Card,2,15.3
10,Credit,Cards & Banking Services,Recurring Deposit,3,3.0
10,Forex,KYC & Documentation,Home Loan,2,3.0
8,Credit,Trade Finance,Education Loan,3,40.1
9,Credit,Trade Finance,NEFT/RTGS/IMPS Issue,1,16.5
10,General Banking,KYC & Documentation,Credit Limit Increase,1,13.1
2,Forex,Banking Tech & Digital Services,Debit Card Activation,2,3.0
10,Credit,Retail Loans,Car Loan,1,62.2
1,Credit,Microfinance & Agricultural Loans,NRE/NRO Account Opening,2,3.0
8,Credit,Accounts & Deposits,Recurring Deposit,3,12.9
10,General Banking,International Transactions,Letter of Credit,3,3.0
9,General Banking,Cards & Banking Services,Bank Guarantee,1,3.0
6,Credit,Accounts & Deposits,Personal Loan,3,57.0
8,General Banking,Mortgage & Secured Loans,Education Loan,3,158.1
9,Credit,Credit Cards,Bank Guarantee,1,25.7
10,Forex,Accounts & Deposits,Personal Loan,2,3.0
9,Credit,Credit Cards,SWIFT Transfer,3,8.2
10,Forex,Transactions & Payments,Current Account,2,3.0
10,General Banking,Currency Exchange,Foreign Exchange Rates Inquiry,1,39.8
7,Credit,Trade Finance,Mobile Banking Issue,3,3.9
3,Forex,Cards & Banking Services,Credit Limit Increase,2,3.0
10,Forex,Trade Finance,Personal Loan,3,46.8
3,Forex,Corporate Loans,Loan Against Property,3,3.0
10,Forex,Credit Cards,Letter of Credit,3,4.1
4,Forex,Currency Exchange,Mobile Banking Issue,2,3.0
8,Forex,Currency Exchange,Working Capital Loan,2,51.4
10,Credit,Currency Exchange,Savings Account,3,44.7
10,Credit,Accounts & Deposits,NEFT/RTGS/IMPS Issue,2,3.0
10,Forex,Transactions & Payments,Reward Points Inquiry,2,37.2
10,General Banking,Cards & Banking Services,Cash Currency Exchange,1,47.7
10,General Banking,International Transactions,Home Loan,3,3.0
9,Credit,Banking Tech & Digital Services,Net Banking Login Issue,3,30.0
9,General Banking,Credit Cards,SWIFT Transfer,3,15.1
10,Credit,Transactions & Payments,Working Capital Loan,3,50.1
3,Forex,Trade Finance,Cash Currency Exchange,2,3.0
1,Forex,KYC & Documentation,Education Loan,3,23.2
6,General Banking,Mortgage & Secured Loans,Letter of Credit,3,102.0
6,Credit,International Transactions,Working Capital Loan,2,5.8
6,Credit,Retail Loans,Mobile Banking Issue,1,3.0
1,General Banking,Currency Exchange,Lost/Stolen Card,3,3.0
2,General Banking,Trade Finance,Cash Currency Exchange,1,44.0
7,Forex,Transactions & Payments,Cash Currency Exchange,2,12.9
9,Credit,Mortgage & Secured Loans,Loan Against Property,2,3.0
5,General Banking,International Transactions,Debit Card Activation,1,3.0
7,General Banking,Cards & Banking Services,Recurring Deposit,2,32.5
8,General Banking,Credit Cards,Savings Account,2,35.2
10,Forex,Transactions & Payments,Letter of Credit,3,4.6
10,Forex,Mortgage & Secured Loans,Fixed Deposit,3,43.7
5,Credit,Microfinance & Agricultural Loans,Recurring Deposit,1,7.3
9,General Banking,International Transactions,Reward Points Inquiry,3,35.7
7,Forex,Credit Cards,Working Capital Loan,1,5.3
10,Credit,Currency Exchange,Net Banking Login Issue,1,3.0
9,Credit,Cards & Banking Services,Savings Account,2,20.0
8,Forex,Corporate Loans,NEFT/RTGS/IMPS Issue,2,27.7
7,General Banking,Corporate Loans,Debit Card Activation,1,103.0
10,Credit,Cards & Banking Services,Mobile Banking Issue,2,35.7
1,General Banking,Cards & Banking Services,Home Loan,2,14.9
5,Credit,Microfinance & Agricultural Loans,Letter of Credit,1,3.0
10,Forex,Retail Loans,Letter of Credit,1,76.0
3,Credit,Banking Tech & Digital Services,NEFT/RTGS/IMPS Issue,3,26.3
5,Forex,Foreign Investments & NRI Banking,Net Banking Login Issue,1,54.5
10,General Banking,Transactions & Payments,Bank Guarantee,1,3.0
9,General Banking,KYC & Documentation,Letter of Credit,3,11.0
3,General Banking,Microfinance & Agricultural Loans,Education Loan,2,13.3
7,General Banking,Cards & Banking Services,Bank Guarantee,3,3.0
5,Credit,Currency Exchange,Fixed Deposit,3,35.3
5,General Banking,KYC & Documentation,Mobile Banking Issue,2,26.4
2,Credit,Cards & Banking Services,Net Banking Login Issue,3,3.0
10,Credit,Cards & Banking Services,Personal Loan,2,3.0
10,Credit,Microfinance & Agricultural Loans,Working Capital Loan,3,3.0
7,General Banking,Mortgage & Secured Loans,NRE/NRO Account Opening,2,41.6
7,Credit,Accounts & Deposits,Letter of Credit,3,34.2
10,General Banking,Trade Finance,NEFT/RTGS/IMPS Issue,2,17.8
7,General Banking,Microfinance & Agricultural Loans,Home Loan,2,3.0
7,General Banking,International Transactions,Car Loan,2,5.0
10,Credit,Transactions & Payments,NEFT/RTGS/IMPS Issue,2,3.0
10,Credit,Mortgage & Secured Loans,Cash Currency Exchange,1,3.0
10,General Banking,Foreign Investments & NRI Banking,Cash Currency Exchange,2,3.0
9,Forex,Foreign Investments & NRI Banking,Working Capital Loan,2,3.0
10,Forex,Corporate Loans,Letter of Credit,3,3.0
10,General Banking,Retail Loans,Letter of Credit,2,3.0
1,General Banking,Microfinance & Agricultural Loans,Personal Loan,2,37.0
7,General Banking,Microfinance & Agricultural Loans,Fixed Deposit,1,54.2
4,Credit,Retail Loans,Savings Account,2,3.0
5,General Banking,Mortgage & Secured Loans,Home Loan,2,20.7
5,Credit,Currency Exchange,Personal Loan,1,3.0
10,Credit,Currency Exchange,NRE/NRO Account Opening,2,3.0
9,Credit,International Transactions,Education Loan,3,3.0
6,Forex,Currency Exchange,Cash Currency Exchange,2,14.4
10,Forex,Cards & Banking Services,NEFT/RTGS/IMPS Issue,1,3.0
8,General Banking,Accounts & Deposits,Net Banking Login Issue,2,34.7
8,Forex,KYC & Documentation,Bank Guarantee,2,3.0
9,Credit,KYC & Documentation,Home Loan,2,65.2
10,Forex,Banking Tech & Digital Services,Loan Against Property,2,50.1
3,Forex,Microfinance & Agricultural Loans,Mobile Banking Issue,1,4.2
10,Forex,Trade Finance,Credit Limit Increase,1,59.1
10,Forex,Banking Tech & Digital Services,Recurring Deposit,3,17.1
7,Credit,Mortgage & Secured Loans,Bank Guarantee,1,3.0
7,Forex,International Transactions,Home Loan,3,3.0
6,Forex,Currency Exchange,Current Account,2,3.0
6,Credit,International Transactions,Loan Against Property,2,27.7
8,General Banking,Credit Cards,Foreign Exchange Rates Inquiry,3,28.1
7,General Banking,KYC & Documentation,Loan Against Property,2,3.0
10,Credit,Foreign Investments & NRI Banking,Letter of Credit,2,18.1
10,General Banking,Microfinance & Agricultural Loans,Recurring Deposit,3,3.0
6,Forex,Transactions & Payments,Foreign Exchange Rates Inquiry,1,3.0
10,General Banking,Mortgage & Secured Loans,Car Loan,3,3.0
1,General Banking,Mortgage & Secured Loans,Home Loan,2,77.6
4,Credit,Banking Tech & Digital Services,Savings Account,3,3.0
9,Credit,Banking Tech & Digital Services,Mobile Banking Issue,2,3.0
4,General Banking,Trade Finance,Reward Points Inquiry,2,56.6
10,Credit,Corporate Loans,Working Capital Loan,2,129.4
7,Forex,International Transactions,Letter of Credit,2,3.0
10,General Banking,Microfinance & Agricultural Loans,Loan Against Property,3,3.0
7,Forex,Corporate Loans,SWIFT Transfer,3,3.0
6,General Banking,Transactions & Payments,Debit Card Activation,2,81.8
8,Forex,Retail Loans,SWIFT Transfer,2,3.0
7,General Banking,Retail Loans,Working Capital Loan,1,18.8
4,Forex,Cards & Banking Services,Car Loan,2,13.8
1,Credit,Foreign Investments & NRI Banking,Current Account,2,3.0
7,Credit,Currency Exchange,Cash Currency Exchange,1,71.2
9,Forex,International Transactions,Current Account,2,9.2
5,Forex,Credit Cards,Letter of Credit,3,3.0
5,General Banking,Microfinance & Agricultural Loans,Lost/Stolen Card,2,66.0
4,Credit,Corporate Loans,Loan Against Property,2,3.0
10,Forex,Cards & Banking Services,Working Capital Loan,1,3.0
9,Credit,Trade Finance,NRE/NRO Account Opening,1,3.0
10,General Banking,Microfinance & Agricultural Loans,Mobile Banking Issue,1,32.5
10,General Banking,Mortgage & Secured Loans,Debit Card Activation,2,30.4
5,Credit,Credit Cards,Credit Limit Increase,1,3.0
3,Credit,Microfinance & Agricultural Loans,Car Loan,1,52.4
9,General Banking,Transactions & Payments,NEFT/RTGS/IMPS Issue,1,3.0
7,Forex,Foreign Investments & NRI Banking,Letter of Credit,1,33.4
10,Credit,Microfinance & Agricultural Loans,Reward Points Inquiry,2,48.0
9,Credit,Accounts & Deposits,Debit Card Activation,2,23.6
10,Forex,Accounts & Deposits,Fixed Deposit,3,81.5
10,Credit,Mortgage & Secured Loans,Fixed Deposit,1,3.0
10,General Banking,Retail Loans,Personal Loan,3,3.0
5,General Banking,KYC & Documentation,Mobile Banking Issue,2,3.0
10,General Banking,Foreign Investments & NRI Banking,Savings Account,3,5.3
5,General Banking,Microfinance & Agricultural Loans,Letter of Credit,1,121.0
10,Credit,Mortgage & Secured Loans,Education Loan,3,33.3
5,Forex,Accounts & Deposits,Mobile Banking Issue,3,3.0
7,General Banking,Retail Loans,Savings Account,1,14.7
10,Forex,Currency Exchange,NRE/NRO Account Opening,1,32.0
7,Credit,International Transactions,Letter of Credit,2,9.9
10,Forex,Trade Finance,Fixed Deposit,1,9.0
10,Forex,Accounts & Deposits,Loan Against Property,1,9.1
5,General Banking,Credit Cards,Net Banking Login Issue,2,3.0
6,General Banking,Retail Loans,SWIFT Transfer,1,3.0
10,Forex,Foreign Investments & NRI Banking,SWIFT Transfer,2,41.9
5,Forex,Corporate Loans,Cash Currency Exchange,3,76.3
10,General Banking,Corporate Loans,Savings Account,2,39.1
1,Credit,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,2,3.0
4,Credit,Corporate Loans,Car Loan,2,3.0
